text,label
"the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one \( and no one \)",neg
"a fantastically vital movie that manages to invest real humor , sensuality , and sympathy into a story about two adolescent boys",pos
"overall , the film misses the brilliance of jelinek 's novel by some way it settles for being merely grim",neg
"an unflinching , complex portrait of a modern israel that is rarely seen on screen",pos
"now trimmed by about 20 minutes , this lavish three year old production has enough grandeur and scale to satisfy as grown up escapism",pos
propelled not by characters but by caricatures,neg
"for all its alleged youthful fire , xxx is no less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero",neg
there has been much puzzlement among critics about what the election symbolizes i believe the message is in the messenger the agent is a woman,pos
"harris is supposed to be the star of the story , but comes across as pretty dull and wooden",neg
"feels like nothing quite so much as a middle aged moviemaker 's attempt to surround himself with beautiful , half naked women",neg
"like coming into a long running , well written television series where you 've missed the first half dozen episodes and probably wo n't see the next six",neg
this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime busting comic vehicle a well intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring,neg
"i wo n't argue with anyone who calls 'slackers' dumb , insulting , or childish but i laughed so much that i did n't mind",pos
me without you has a bracing truth that 's refreshing after the phoniness of female bonding pictures like divine secrets of the ya ya sisterhood,pos
"humorous , artsy , and even cute , in an off kilter , dark , vaguely disturbing way",pos
there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending,neg
comes uncomfortably close to coasting in the treads of the bicycle thief,neg
barrels along at the start before becoming mired in sentimentality,neg
"at times , it actually hurts to watch",neg
"this version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience",pos
ca n't seem to get anywhere near the story 's center,neg
"for those of us who respond more strongly to storytelling than computer generated effects , the new star wars installment has n't escaped the rut dug by the last one",neg
"made up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america 's skin deep notions of pulchritude",pos
"if you can push on through the slow spots , you 'll be rewarded with some fine acting",pos
"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers' puppet strings",neg
director nancy savoca 's no frills record of a show forged in still raw emotions captures the unsettled tenor of that post 9 11 period far better than a more measured or polished production ever could,pos
"bogdanovich taps deep into the hearst mystique , entertainingly reenacting a historic scandal",pos
"the film 's lack of personality permeates all its aspects from the tv movie esque , affected child acting to the dullest irish pub scenes ever filmed",neg
it 's the movie equivalent of a sweaty old guy in a rain coat shopping for cheap porn,neg
"after sitting through this sloppy , made for movie comedy special , it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work",neg
"none of this so called satire has any sting to it , as if woody is afraid of biting the hand that has finally , to some extent , warmed up to him",neg
"one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers",pos
this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors,neg
"a provocative movie about loss , anger , greed , jealousy , sickness and love",pos
a romantic comedy enriched by a sharp eye for manners and mores,pos
debut effort by project greenlight winner is sappy and amateurish,neg
a domestic melodrama with weak dialogue and biopic cliches,neg
the film 's most improbable feat \? it did n't go straight to video,neg
the christ allegory does n't work because there is no foundation for it,neg
"escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions",pos
"as played by ryan gosling , danny is a frighteningly fascinating contradiction",pos
"it 's somewhat clumsy and too lethargically paced but its story about a mysterious creature with psychic abilities offers a solid build up , a terrific climax , and some nice chills along the way",pos
"a lightweight , uneven action comedy that freely mingles french , japanese and hollywood cultures",neg
"tony gayton 's script does n't give us anything we have n't seen before , but director d j caruso 's grimy visual veneer and kilmer 's absorbing performance increase the gravitational pull considerably",pos
it confirms fincher 's status as a film maker who artfully bends technical know how to the service of psychological insight,pos
jackson is always watchable,pos
oozes condescension from every pore,neg
what might 've been an exhilarating exploration of an odd love triangle becomes a sprawl of uncoordinated vectors,neg
"partly a schmaltzy , by the numbers romantic comedy , partly a shallow rumination on the emptiness of success and entirely soulless",neg
"what 's at stake in this film is nothing more than an obsolete , if irritating , notion of class",neg
"not only does spider man deliver , but i suspect it might deliver again and again",pos
sucking all the 'classic' out of robert louis stevenson 's treasure island and filling the void with sci fi video game graphics and disney fied adolescent angst,neg
it 's one of the most honest films ever made about hollywood,pos
"the tonal shifts are jolting , and though wen 's messages are profound and thoughtfully delivered , more thorough transitions would have made the film more cohesive",pos
"as if trying to grab a lump of play doh , the harder that liman tries to squeeze his story , the more details slip out between his fingers",pos
"while american adobo has its heart \( and its palate \) in the right place , its brain is a little scattered ditsy , even",neg
"seemingly disgusted with the lazy material and the finished product 's unshapely look , director fisher stevens inexplicably dips key moments from the film in waking life water colors",neg
george lucas returns as a visionary with a tale full of nuance and character dimension,pos
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian language soundtrack",neg
"lejos del para so es al mismo tiempo una fiesta para los ojos y o dos y un movilizador cuadro de personajes enfrentados a sus propios deseos , miedos y prejuicios",pos
"the film does a solid job of slowly , steadily building up to the climactic burst of violence",pos
"will always be remembered for the 9 11 terrorist attacks after seeing the film , i can tell you that there 's no other reason why anyone should bother remembering it",neg
an often unfunny romp,neg
"i t 's certainly laudable that the movie deals with hot button issues in a comedic context , but barbershop is n't as funny as it should be",neg
"a movie that , quite simply , should n't have been made",neg
es triste tener que decirles que lo nico grato de la cinta es el cuerpo desnudo de la heather,neg
about the best thing you could say about narc is that it 's a rock solid little genre picture whether you like it or not is basically a matter of taste,pos
reign of fire looks as if it was made without much thought and is best watched that way,pos
"when it 's not wallowing in hormonal melodrama , real women have curves is a sweet , honest , and enjoyable comedy drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams",pos
"carrying this wafer thin movie on his nimble shoulders , chan wades through putrid writing , direction and timing with a smile that says , 'if i stay positive , maybe i can channel one of my greatest pictures , drunken master '",neg
"rymer does n't trust laughs and does n't conjure proper respect for followers of the whole dead undead genre , who deserve more from a vampire pic than a few shrieky special effects",neg
"whenever its story is n't bogged down by idiocy involving the cia and a lost u s satellite , hunter starring irwin and his american wife colleague , terri is a movie children should enjoy",neg
"i 've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we 've got something pretty damn close",pos
a classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached,pos
"there 's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity",neg
austin powers in goldmember has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end,pos
sits uneasily as a horror picture but finds surprising depth in its look at the binds of a small family,pos
"there is little question that this is a serious work by an important director who has something new to say about how , in the flip flop of courtship , we often reel in when we should be playing out",pos
"memorable for a peculiar malaise that renders its tension flaccid and , by extension , its surprises limp and its resolutions ritual",neg
"is there a group of more self absorbed women than the mother and daughters featured in this film \? i do n't think so nothing wrong with performances here , but the whiney characters bugged me",neg
"boy , has this franchise ever run out of gas",neg
"all the actors are good in pauline paulette but van der groen , described as 'belgium 's national treasure , ' is especially terrific as pauline",pos
a mimetic approximation of better films like contempt and 8 1 2,neg
a polished and relatively sincere piece of escapism,pos
quite endearing,pos
collateral damage finally delivers the goods for schwarzenegger fans,pos
the story is moldy and obvious,neg
an unabashedly schmaltzy and thoroughly enjoyable true story,pos
"the off center humor is a constant , and the ensemble gives it a buoyant delivery",pos
a film that clearly means to preach exclusively to the converted,neg
the pace and the visuals are so hyped up that a curious sense of menace informs everything,neg
this dubious product of a college spawned \( colgate u \) comedy ensemble known as broken lizard plays like a mix of cheech and chong and chips,neg
most of the dialogue made me want to pack raw dough in my ears,neg
"too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot",neg
"it 's hard to fairly judge a film like ringu when you 've seen the remake first many of the effective horror elements are dampened through familiarity , yet are worthwhile",pos
"a sun drenched masterpiece , part parlor game , part psychological case study , part droll social satire",pos
a noble failure,neg
those who are n't put off by the film 's austerity will find it more than capable of rewarding them,pos
nights feels more like a quickie tv special than a feature film it 's not even a tv special you 'd bother watching past the second commercial break,neg
"over the top and a bit ostentatious , this is a movie that 's got oodles of style and substance",pos
the bard as black comedy willie would have loved it,pos
might best be enjoyed as a daytime soaper,neg
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here",neg
the master of disguise falls under the category of 'should have been a sketch on saturday night live ',neg
"sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist japanese jokes",neg
sen 's soap opera ish approach undermines his good intentions,neg
"martin and barbara are complex characters sometimes tender , sometimes angry and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid",pos
"if the movie were all comedy , it might work better but it has an ambition to say something about its subjects , but not a willingness",neg
a keep 'em guessing plot and an affectionate take on its screwed up characters,pos
"more busy than exciting , more frantic than involving , more chaotic than entertaining",neg
a captivating new film,pos
"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter",pos
"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved",pos
"did no one on the set have a sense of humor , or did they not have the nerve to speak up \?",neg
"birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns",pos
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies but the film suffers from its own difficulties,pos
too timid to bring a sense of closure to an ugly chapter of the twentieth century,neg
it 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong,neg
"the makers of divine secrets of the ya ya sisterhood should offer a free ticket \( second prize , of course , two free tickets \) to anyone who can locate a genuinely honest moment in their movie",neg
this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action,neg
p artnering murphy with robert de niro for the tv cops comedy showtime would seem to be surefire casting the catch is that they 're stuck with a script that prevents them from firing on all cylinders,neg
"assured , vital and well wrought , the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan",pos
a valueless kiddie paean to pro basketball underwritten by the nba,neg
director rob marshall went out gunning to make a great one,pos
"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at",pos
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive",pos
"solid , lump in the throat family entertainment that derives its power by sticking to the facts",pos
"hey arnold ! is now stretched to barely feature length , with a little more attention paid to the animation still , the updated dickensian sensibility of writer craig bartlett 's story is appealing",neg
"jaw droppingly superficial , straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company",neg
"huppert 's show to steal and she makes a meal of it , channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as 8 women 's augustine",pos
the makers of mothman prophecies succeed in producing that most frightening of all movies a mediocre horror film too bad to be good and too good to be bad,neg
a loquacious and dreary piece of business,neg
"the tale of her passionate , tumultuous affair with musset unfolds as sand 's masculine persona , with its love of life and beauty , takes form",pos
an instance of an old dog not only learning but inventing a remarkable new trick,pos
the things this movie tries to get the audience to buy just wo n't fly with most intelligent viewers,neg
"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue",pos
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set",neg
"while not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in girls ca n't swim",pos
draggin' about dragons,neg
the film desperately sinks further and further into comedy futility,neg
the biggest problem with this movie is that it 's not nearly long enough,pos
"anemic , pretentious",neg
you 'd be hard put to find a movie character more unattractive or odorous than leon,neg
cremaster 3 should come with the warning for serious film buffs only !,pos
"i enjoyed the movie in a superficial way , while never sure what its purpose was",neg
"grown up quibbles are beside the point here the little girls understand , and mccracken knows that 's all that matters",pos
a preachy parable stylized with a touch of john woo bullet ballet,neg
"even during the climactic hourlong cricket match , boredom never takes hold",pos
"star trek nemesis meekly goes where nearly every star trek movie has gone before wince inducing dialogue , thrift shop costumes , prosthetic makeup by silly putty and kmart blue light special effects all conspire to test trekkie loyalty",neg
"the emperor 's club , ruthless in its own placid way , finds one of our most conservative and hidebound movie making traditions and gives it new texture , new relevance , new reality",pos
"the movie attempts to mine laughs from a genre the gangster crime comedy that wore out its welcome with audiences several years ago , and its cutesy reliance on movie specific cliches is n't exactly endearing",neg
"largely , this is a movie that also does it by the numbers",neg
"in xxx , diesel is that rare creature an action hero with table manners , and one who proves that elegance is more than tattoo deep",pos
can i admit xxx is as deep as a petri dish and as well characterized as a telephone book but still say it was a guilty pleasure \?,pos
majidi 's direction has never been smoother or more confident,pos
empire ca n't make up its mind whether it wants to be a gangster flick or an art film it does n't work as either,neg
"anyone who wants to start writing screenplays can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity",neg
an inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength,neg
observant intelligence constantly vies with pretension and sometimes plain wacky implausibility throughout maelstrom,neg
"schaeffer is n't in this film , which may be why it works as well as it does",pos
one scene after another in this supposedly funny movie falls to the floor with a sickening thud,neg
"sometimes , nothing satisfies like old fashioned swashbuckling and in this regard , on guard delivers",pos
"despite its title , amy 's orgasm is not a porno , though it is as tedious as one",neg
"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too",pos
"this is one of mr chabrol 's subtlest works , but also one of his most uncanny",pos
"while it may not add up to the sum of its parts , holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often",neg
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick",neg
disturbing and brilliant documentary,pos
nearly all the fundamentals you take for granted in most films are mishandled here,neg
"a thoughtful , moving piece that faces difficult issues with honesty and beauty",pos
it is quite a vision,pos
spellbinding fun and deliciously exploitative,pos
"does n't get the job done , running off the limited chemistry created by ralph fiennes and jennifer lopez",neg
the saturation bombing of reggio 's images and glass' evocative music ultimately leaves viewers with the task of divining meaning,pos
there is not an ounce of honesty in the entire production,neg
"holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp",neg
a thriller without a lot of thrills,neg
this follow up seems so similar to the 1953 disney classic that it makes one long for a geriatric peter,neg
"silly , loud and goofy",neg
old fashioned but thoroughly satisfying entertainment,pos
this is a film living far too much in its own head,neg
a rip roaring comedy action fest that 'll put hairs on your chest,pos
"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book",pos
"writer director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable",pos
"though there 's a clarity of purpose and even handedness to the film 's direction , the drama feels rigged and sluggish",neg
"a boring , formulaic mix of serial killers and stalk'n 'slash",neg
a screenplay more ingeniously constructed than memento,pos
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan",neg
another rent installment for the ian fleming estate,neg
"it 's not particularly subtle however , it still manages to build to a terrifying , if obvious , conclusion",pos
the film 's thoroughly recycled plot and tiresome jokes drag the movie down,neg
"one of the year 's best films , featuring an oscar worthy performance by julianne moore",pos
the picture 's cleverness is ironically muted by the very people who are intended to make it shine,neg
here is a vh1 behind the music special that has something a little more special behind it music that did n't sell many records but helped change a nation,pos
"myers never knows when to let a gag die thus , we 're subjected to one mind numbingly lengthy riff on poo and pee jokes after another",neg
"the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful",pos
t he film is never sure to make a clear point even if it seeks to rely on an ambiguous presentation,neg
it rapidly develops into a gut wrenching examination of the way cultural differences and emotional expectations collide,pos
"in the end , white oleander is n't an adaptation of a novel it 's a flashy , star splashed reduction",neg
"it 's always disappointing when a documentary fails to live up to or offer any new insight into its chosen topic unfortunately , that 's precisely what arthur dong 's family fundamentals does",neg
"though its story is only surface deep , the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look see",pos
"the photographer 's show do n't tell stance is admirable , but it can make him a problematic documentary subject",neg
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character",neg
"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices",pos
"lame , haphazard teen comedy",neg
"victor rosa is leguizamo 's best movie work so far , a subtle and richly internalized performance",pos
"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , a city where people still read",pos
"squandering his opportunity to make absurdist observations , burns gets caught up in the rush of slapstick thoroughfare",neg
speaks eloquently about the symbiotic relationship between art and life,pos
"meandering and glacially paced , and often just plain dull",neg
directed in a paint by numbers manner,neg
"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death",neg
i can easily imagine benigni 's pinocchio becoming a christmas perennial coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings,neg
"time stands still in more ways that one in clockstoppers , a sci fi thriller as lazy as it is interminable",neg
"just about everyone involved here seems to be coasting there are a few modest laughs , but certainly no thrills",neg
"strange it is , but delightfully so",pos
"apart from its own considerable achievement , metropolis confirms tezuka 's status as both the primary visual influence on the anim tradition and its defining philosophical conscience",pos
"every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible that , in itself , is extraordinary",pos
"at times a bit melodramatic and even a little dated \( depending upon where you live \) , ignorant fairies is still quite good natured and not a bad way to spend an hour or two",pos
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern day comedies",pos
was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz \?,neg
stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens,pos
"as adapted by kevin molony from simon leys' novel the death of napoleon and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",pos
"a movie more to be prescribed than recommended as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms",neg
"the large frame imax camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown up fish lovers",pos
"grant is certainly amusing , but the very hollowness of the character he plays keeps him at arms length",pos
"die another day is only intermittently entertaining but it 's hard not to be a sucker for its charms , or perhaps it 's just impossible not to feel nostalgia for movies you grew up with",neg
"the film falls short on tension , eloquence , spiritual challenge things that have made the original new testament stories so compelling for 20 centuries",neg
"morton is , as usual , brilliant",pos
"while the glass slipper does n't quite fit , pumpkin is definitely a unique modern fairytale",pos
a nightmare date with a half formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes,neg
the way coppola professes his love for movies both colorful pop junk and the classics that unequivocally qualify as art is giddily entertaining,pos
"it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit",pos
one of herzog 's least inspired works,pos
"american chai encourages rueful laughter at stereotypes only an indian american would recognize and the lesson , in the end , is nothing new",neg
feels more like a rejected x files episode than a credible account of a puzzling real life happening,neg
"taylor takes us on a ride that 's consistently surprising , easy to watch but , oh , so dumb",neg
"a woozy , roisterous , exhausting mess , and the off beat casting of its two leads turns out to be as ill starred as you might expect",neg
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the clich riddled genre can offer",pos
"the people in dogtown and z boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next",pos
"cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre credit sequence designed to give some of the characters a 'back story '",neg
the film ultimately offers nothing more than people in an urban jungle needing other people to survive,neg
glazed with a tawdry b movie scum,neg
"jacobi , the most fluent of actors , is given relatively dry material from nijinsky 's writings to perform , and the visuals , even erotically frank ones , become dullingly repetitive",neg
"attal pushes too hard to make this a comedy or serious drama he seems to want both , but succeeds in making neither",neg
"slap her she 's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half",neg
ranges from laugh out loud hilarious to wonder what time it is tedious,pos
it wo n't be long before you 'll spy i spy at a video store near you,neg
what makes this film special is serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context,pos
"take away the controversy , and it 's not much more watchable than a mexican soap opera",neg
as vulgar as it is banal,neg
i ca n't remember the last time i saw a movie where i wanted so badly for the protagonist to fail,neg
it 's mired in a shabby script that piles layer upon layer of action man clich atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of woo 's best work,neg
"for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his son",pos
"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you 're going to alter the bard 's ending , you 'd better have a good alternative",neg
"'abandon all hope , ye who enter here' you should definitely let dante 's gloomy words be your guide",neg
it 's about issues most adults have to face in marriage and i think that 's what i liked about it the real issues tucked between the silly and crude storyline,pos
"for single digits kidlets stuart little 2 is still a no brainer if you 're looking to rekindle the magic of the first film , you 'll need a stronger stomach than us",neg
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure",pos
barely goes beyond comic book status,neg
kaufman 's script is never especially clever and often is rather pretentious,neg
"the noble tradition of men in drag hits an all time low in sorority boys , whose makers apparently believe that women 's clothing can cover up any deficiency in acting , writing or direction",neg
blanchett 's performance confirms her power once again,pos
"pull s off the rare trick of recreating not only the look of a certain era , but also the feel",pos
"antwone fisher is an earnest , by the numbers effort by washington it wo n't rock any boats but is solid meat and potatoes filmmaking",pos
"no number of fantastic sets , extras , costumes and spectacular locales can disguise the emptiness at the center of the story",neg
"dazzles with its fully written characters , its determined stylishness \( which always relates to characters and story \) and johnny dankworth 's best soundtrack in years",pos
"perfectly enjoyable , instantly forgettable , nothing to write home about",neg
the soundtrack alone is worth the price of admission,pos
"cox offers plenty of glimpses at existing photos , but there are no movies of nijinsky , so instead the director treats us to an aimless hodgepodge",neg
"it 's leaden and predictable , and laughs are lacking",neg
travels a fascinating arc from hope and euphoria to reality and disillusionment,pos
tries so hard to be quirky and funny that the strain is all too evident,neg
"though the film is well intentioned , one could rent the original and get the same love story and parable",neg
"though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should",neg
"a taut , sobering film",pos
star wars is back in a major way,pos
"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet",pos
"while you have to admit it 's semi amusing to watch robert deniro belt out when you 're a jet , you 're a jet all the way , it 's equally distasteful to watch him sing the lyrics to tonight",neg
"in moonlight mile , no one gets shut out of the hug cycle",neg
"occasionally melodramatic , it 's also extremely effective",pos
"dark and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten",pos
"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions",pos
"it 's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable",neg
boring and meandering,neg
the thing looks like a made for home video quickie,neg
the marquis de sade could n't have been as dull a person as this film makes him out to be,neg
m nch 's genuine insight makes the film 's occasional overindulgence forgivable,pos
"no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest 'tron' anderson , seems entirely improvised",neg
"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work",pos
"mostly works because of the universal themes , earnest performances and excellent use of music by india 's popular gulzar and jagjit singh",pos
"if you can tolerate the redneck versus blueblood cliches that the film trades in , sweet home alabama is diverting in the manner of jeff foxworthy 's stand up act",pos
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",neg
"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under 12 audience is concerned",pos
"astonishing is n't the word neither is incompetent , incoherent or just plain crap indeed , none of these words really gets at the very special type of badness that is deuces wild",neg
adam sandler is to gary cooper what a gnat is to a racehorse,neg
the cast is so low wattage that none of the characters comes off as big and the setting remains indistinct,neg
"philip k dick must be turning in his grave , along with my stomach",neg
